sentence_id,category,difficulty,english,nepali
q18,question,medium,What is your occupation?,तपाईंको पेशा के हो?
q19,question,easy,Can I sit here?,के म यहाँ बस्न सक्छु?
q20,question,easy,Do you have a pen?,के तपाईंसँग कलम छ?
s01,statement,easy,My name is Ram.,मेरो नाम राम हो।
s02,statement,easy,I live in Kathmandu.,म काठमाडौंमा बस्छु।
s03,statement,easy,She is my sister.,उनी मेरी बहिनी हुन्।
s04,statement,medium,He works at a hospital.,उनी अस्पतालमा काम गर्छन्।
s05,statement,easy,The book is on the table.,किताब टेबलमा छ।
s06,statement,medium,Nepal is a beautiful country.,नेपाल एक सुन्दर देश हो।
s07,statement,easy,I am a student.,म एक विद्यार्थी हुँ।
s08,statement,easy,The weather is cold today.,आज मौसम चिसो छ।
s09,statement,medium,We are going to the market.,हामी बजार जाँदैछौं।
s10,statement,medium,The child is playing outside.,बच्चा बाहिर खेलिरहेको छ।
s11,statement,easy,My father is a teacher.,मेरो बुबा एक शिक्षक हुनुहुन्छ।
s12,statement,medium,The train arrives at noon.,रेल दिउँसो आउँछ।
s13,statement,medium,She likes to read books.,उनलाई किताब पढ्न मन पर्छ।
s14,statement,medium,The hospital is near the school.,अस्पताल स्कुलको नजिक छ।
s15,statement,easy,I have two brothers.,मेरो दुई भाइ छन्।
s16,statement,medium,The meeting starts at nine.,बैठक नौ बजे सुरु हुन्छ।
s17,statement,easy,This is my house.,यो मेरो घर हो।
s18,statement,easy,The food is very tasty.,खाना धेरै मिठो छ।
s19,statement,easy,They are good friends.,तिनीहरू राम्रा साथी हुन्।
s20,statement,hard,The river flows through the valley.,नदी उपत्यकाबाट बग्छ।
t01,temporal,easy,I will come tomorrow.,म भोलि आउँछु।
t02,temporal,easy,She came yesterday.,उनी हिजो आइन्।
t03,temporal,medium,We met last week.,हामी गत हप्ता भेट्यौं।
t04,temporal,medium,The event is next month.,कार्यक्रम अर्को महिना छ।
t05,temporal,medium,I wake up at six every morning.,म हरेक बिहान छ बजे उठ्छु।
t06,temporal,hard,They will finish it by Friday.,तिनीहरू शुक्रबारसम्म सकाउँछन्।
t07,temporal,hard,It was raining two hours ago.,दुई घण्टा पहिले पानी परिरहेको थियो।
t08,temporal,hard,I have been waiting since morning.,म बिहानदेखि पर्खिरहेको छु।
t09,temporal,medium,She will call you soon.,उनी तपाईंलाई चाँडै फोन गर्छिन्।
t10,temporal,medium,The festival was last year.,चाड गत वर्ष थियो।
t11,temporal,medium,He left three days ago.,उनी तीन दिन पहिले गए।
t12,temporal,medium,I will finish this work by evening.,म यो काम साँझसम्म सकाउँछु।
t13,temporal,hard,We used to play here as children.,हामी बच्चाको बेला यहाँ खेल्थ्यौं।
t14,temporal,medium,The bus comes every hour.,बस हरेक घण्टामा आउँछ।
t15,temporal,medium,I will be back in five minutes.,म पाँच मिनेटमा फर्कन्छु।
t16,temporal,hard,She has been working here for two years.,उनी यहाँ दुई वर्षदेखि काम गर्दैछिन्।
t17,temporal,hard,The meeting was postponed to next week.,बैठक अर्को हप्तासम्म सारियो।
t18,temporal,medium,I always eat breakfast at eight.,म सधैं आठ बजे बिहानको खाना खान्छु।
t19,temporal,easy,They arrived just now.,तिनीहरू अहिलेमात्र आए।
t20,temporal,medium,The school opens in January.,स्कुल जनवरीमा खुल्छ।
(100 rows)
